idindicador,idunidad,iddepto,nomdepto,2005,2006,2007,2008,2009,2010
pcrparin,1,66,risaralda,91.7,92.56,93.83,95.5,96.9,95.86
ptrldeng,1,99,vichada,NA,NA,0,0,0,0
pbrmivih,1,170,colombia,NA,NA,NA,6.2,4.9,5.3
pcrparin,1,25,cundinamarca,93.02,99.15,99.58,99.13,99.58,99.22
pcrparin,1,5,antioquia,98.71,99.39,98.71,98.42,98.31,98.62
pcrparin,1,91,amazonas,80,100,69.23,91.67,80,85.71
ttdiesti,20,27,choco,29.44,29.44,29.44,29.44,29.44,29.44
pbehtaco,1,20,cesar,NA,NA,6.5,NA,NA,NA
pcrperca,1,17,caldas,96.92449748,97.50453721,98.05995131,98.5683436,98.90272577,99.1819101
pcrparin,1,25,cundinamarca,100,100,94.37,98.65,98.92,96.84
ttdiesti,20,27,choco,60.96,60.96,60.96,60.96,60.96,60.96
pcrparin,1,68,santander,89.29,86.11,88.31,94.83,94.64,88.1
pgeembar,1,20,cesar,27.9,NA,NA,NA,NA,26.7
ttdiesti,20,99,vichada,49.97,48.86,47.75,46.64,45.53,44.42
pcrparin,1,8,atlantico,81.72,80.7,98.11,100,97.78,100
ttdiesti,20,41,huila,26.18,25.6,25.02,24.44,23.86,23.27
pcrparin,1,15,boyaca,97.14,97.33,96.93,97.71,98.01,99.39
igrtgfec,2,27,choco,NA,NA,NA,NA,NA,NA
ttdiesti,20,68,santander,22.38,21.71,21.04,20.36,19.69,19.02
caelacex,5,91,amazonas,NA,NA,NA,NA,NA,5.5
ttdiesti,20,73,tolima,25.88,25.88,25.88,25.88,25.88,25.88
ctrmormt,17,52,narino,18,17,20,17,22,13
cgrnacim,17,63,quindio,20936,22074,21768,21615,21788,20317
ttdiesti,20,25,cundinamarca,15.08,14.92,14.75,14.58,14.41,14.25
ttdiesti,20,18,caqueta,22.18,21.69,21.19,20.7,20.21,19.71
ttdiesti,20,25,cundinamarca,16.47,16.16,15.84,15.53,15.21,14.9
pgeembar,1,94,guainia,30.8,NA,NA,NA,NA,33.8
pcrparin,1,70,sucre,96.99,98.94,100,96.25,98.52,96.84
ttdiesti,20,19,cauca,23.84,23.31,22.78,22.25,21.72,21.19
pcrrncpn,1,88,san andres,93.15,94.79,93.11,90.64,93.24,91.52
pcrparin,1,13,bolivar,94.44,99.29,100,100,98.63,98.62
ttdiesti,20,54,n.santander,12.38,12.11,11.83,11.56,11.28,11.01
pbehtaco,1,85,casanare,NA,NA,8,NA,NA,NA
ttdiesti,20,13,bolivar,35.58,35.51,35.43,35.36,35.28,35.21
pcrparin,1,68,santander,98.75,98.44,100,98.63,100,97.92
ttdiesti,20,81,arauca,35.96,35.16,34.36,33.56,32.76,31.96
pcrparin,1,99,vichada,86.26,87.5,88.97,67.58,65.2,62.92
pcrparin,1,25,cundinamarca,100,98.96,98.81,98.86,98.81,99
ttdiesti,20,52,narino,32.61,32.61,32.6,32.6,32.6,32.6
ttdiesti,20,73,tolima,22.6,22.34,22.07,21.8,21.53,21.26
ttdiesti,20,25,cundinamarca,18.61,18.4,18.2,17.99,17.78,17.58
pcrparin,1,8,atlantico,100,99.15,99.55,98.08,99.61,100
ptrldeng,1,52,narino,NA,NA,0,0,0,100
ttdiesti,20,54,n.santander,17.91,17.71,17.51,17.31,17.11,16.91
ttdiesti,20,8,atlantico,24.87,24.31,23.76,23.21,22.66,22.1
ttdiesti,20,68,santander,16.37,15.72,15.06,14.41,13.75,13.1
ttdiesti,20,17,caldas,18.6,18.35,18.11,17.86,17.62,17.37
pcrparin,1,63,quindio,98.51980264,98.71668312,98.81377733,99.30173823,99.28101576,99.41472931
ttdiesti,20,52,narino,32.04,31.95,31.87,31.78,31.7,31.61
pcrparin,1,73,tolima,83.78,84.21,84.87,94.31,96.49,96.91
pcrparin,1,81,arauca,71.59,74.45,83.38,84.81,82.68,86.1
pcrparin,1,76,valle del cauca,99.1,99.06,98.59,100,96.08,96.25
pcrparin,1,73,tolima,86.13,86.49,92.86,88.7,94.83,96.08
pbretaia,1,47,magdalena,NA,NA,NA,NA,NA,72.72727273
ttdiesti,20,70,sucre,29.83,29.83,29.83,29.83,29.83,29.83
pbrmivih,1,8,atlantico,NA,NA,NA,NA,NA,5
pcrparin,1,73,tolima,76.19,80.99,85.11,77.36,80.95,97.18
pbretaia,1,17,caldas,NA,NA,NA,NA,NA,93.33333333
ttdnesti,20,18,caqueta,53.03456428,48.35794142,43.68131856,39.0046957,34.32807284,29.65144998
ttdiesti,20,15,boyaca,19.72,19.13,18.54,17.95,17.36,16.77
pbepredc,1,66,risaralda,NA,NA,NA,NA,NA,10.4
pcrparin,1,15,boyaca,64.29,93.33,42.86,81.25,84.21,86.67
ttdiesti,20,88,san andres,17.73615913,17.32463704,16.91985665,16.52150201,16.11385175,15.71325365
ttdiesti,20,63,quindio,16.19,15.7,15.22,14.73,14.25,13.76
ttdiesti,20,17,caldas,21.03,20.4,19.77,19.14,18.51,17.88
ttdiesti,20,94,guainia,38.85,38.85,38.85,38.85,38.85,38.85
ttdiesti,20,5,antioquia,23.07,22.56,22.05,21.54,21.02,20.51
pcrparin,1,15,boyaca,96.05,96.53,96.78,98.45,98.97,98.98
pcrparin,1,17,caldas,99.49,99.55,99.41,99.51,99.57,99.5
pcrparin,1,52,narino,73.96,86.49,92.86,98.31,98.11,100
pbehtaco,1,NA,NA,NA,NA,2.25,NA,NA,NA
ttdiesti,20,25,cundinamarca,15.52,15.35,15.18,15.01,14.83,14.66
caelacex,5,13,bolivar,NA,NA,NA,NA,NA,1.3
ttdiesti,20,68,santander,26.47,25.92,25.37,24.81,24.26,23.71
ttdiesti,20,95,guaviare,49.3,49.3,49.3,49.3,49.3,49.3
pcrparin,1,8,atlantico,99.59,99.66,99.51,99.84,99.64,100
pcrparin,1,27,choco,72.86,82.33,93.9,87.5,90.46,92.71
pcrparin,1,68,santander,98.95,100,99.05,95.89,95.83,96.39
ttdiesti,20,50,meta,22.47,21.97,21.47,20.97,20.47,19.97
ttdiesti,20,73,tolima,14.07,14.07,14.07,14.07,14.06,14.06
ttdiesti,20,15,boyaca,30.39,29.31,28.23,27.14,26.06,24.98
pcrparin,1,15,boyaca,95.12,95.24,98.18,100,100,97.22
pcrparin,1,25,cundinamarca,98.37,100,99.24,97.14,99.07,99.15
pcrparin,1,66,risaralda,98.69,99.4,99.6,99.69,99.66,99.54
ttdiesti,20,52,narino,22.36,21.86,21.37,20.87,20.37,19.88
ttdiesti,20,20,cesar,20.53,20.07,19.61,19.16,18.7,18.25
pbehtaco,1,50,meta,NA,NA,6.6,NA,NA,NA
ttdiesti,20,73,tolima,15.63,15.63,15.63,15.63,15.62,15.62
igrtgfec,2,54,n.santander,NA,NA,NA,NA,NA,NA
ttdiesti,20,5,antioquia,18.44,18.24,18.03,17.83,17.62,17.42
pbepredg,1,91,amazonas,NA,NA,NA,NA,NA,5.8
pcrparin,1,70,sucre,99.07,99.15,95.89,96.95,97.1,97.23
pcrparin,1,20,cesar,94.72,99.72,98.49,99.71,98.62,97.97
ttdiesti,20,94,guainia,83.2,82.8,82.4,81.99,81.59,81.19
ttdnesti,20,95,guaviare,NA,NA,NA,NA,NA,NA
pbehtaco,1,97,vaupes,NA,NA,5.3,NA,NA,NA
pcrparin,1,19,cauca,92.68,94.81,96.55,96.77,92.37,96.97
pcrparin,1,68,santander,99.62,99.58,99.85,99.71,99.85,99.87
pcrparin,1,41,huila,81.58,82.12,89.8,84.31,97.83,97.53
ttdiesti,20,41,huila,23.77,23.51,23.24,22.98,22.72,22.45
ttdiesti,20,5,antioquia,25.37,24.81,24.24,23.68,23.12,22.55
pcrparin,1,25,cundinamarca,98.5,99.15,99.28,98.36,95.76,98.08
pcrparin,1,73,tolima,92.73,99.02,100,99.01,96.08,100
ttdiesti,20,68,santander,25.34,24.98,24.62,24.26,23.9,23.54
pcrparin,1,68,santander,87.16,90.27,93.15,95.06,93.96,96.28
ttdiesti,20,66,risaralda,15.92,15.44,14.96,14.49,14.01,13.53
pcrparin,1,68,santander,97.14,96.97,100,96.3,100,100
ttdiesti,20,19,cauca,21.45,20.97,20.5,20.02,19.54,19.07
ttdiesti,20,66,risaralda,19.14,18.57,17.99,17.42,16.84,16.27
pcrparin,1,15,boyaca,98.79,98.55,98.32,97.83,99.15,98.02
rgrtgfec,3,44,la guajira,NA,NA,NA,NA,NA,NA
pcrparin,1,17,caldas,98.33,98.41,98.87,98.76,100,99.49
ttdiesti,20,52,narino,34.84,34.06,33.29,32.52,31.74,30.97
pcrparin,1,27,choco,97.89,98.3,97.89,98.07,98.66,98.57
ttdiesti,20,41,huila,23.07,22.82,22.56,22.3,22.05,21.79
ttdiesti,20,73,tolima,18.45,18.24,18.02,17.8,17.58,17.36
ttdiesti,20,15,boyaca,15.66,15.19,14.72,14.25,13.78,13.31
pbehtaco,1,88,san andres,NA,NA,9.4,NA,NA,NA
pcrparin,1,5,antioquia,93.55,93.27,94.2,96,98.81,97.11
ttdiesti,20,13,bolivar,37.65,37.65,37.65,37.65,37.65,37.65
pcrparin,1,5,antioquia,97.53,98.13,97.73,98.37,99.67,99.6
ttdiesti,20,20,cesar,22.48,21.98,21.48,20.98,20.48,19.98
ttdiesti,20,68,santander,40.03,40.03,40.03,40.03,40.03,40.03
pcrparin,1,5,antioquia,92.59,96.55,99.06,98.08,97.73,97.67
ttdiesti,20,76,valle del cauca,16.37,15.98,15.58,15.19,14.8,14.41
pcrparin,1,5,antioquia,98.14,96.65,96.83,95.72,97.07,96.63
caelacex,5,NA,NA,NA,NA,NA,NA,NA,2.6
ttdiesti,20,5,antioquia,16.7469718,16.53208621,16.3160004,16.09873742,15.88041306,15.66095471
ttdiesti,20,76,valle del cauca,21.26,21.09,20.91,20.74,20.56,20.39
pcrparin,1,41,huila,86.24,89.61,95.22,95.74,97.81,94.67
pcrparin,1,52,narino,91.3,80.67,63.35,82.07,82.93,87.37
pcrparin,1,170,colombia,96.47296617,97.1,97.77469845,98.1,98.35825708,98.58918837
pgeembar,1,63,quindio,17.7,NA,NA,NA,NA,14.6
pcrrncpn,1,18,caqueta,74.99,72.47,70.86,72.85,76.67,75.46
pbepredc,1,47,magdalena,17,NA,NA,NA,NA,18
pcrrncpn,1,170,colombia,82.38,82.97,83.78,84.08,84.3,86.26
pcrparin,1,25,cundinamarca,100,97.37,96.49,97.1,95.52,94.03
rgrtgfec,3,50,meta,NA,NA,NA,NA,NA,NA
ttdiesti,20,27,choco,32.37,31.08,29.78,28.49,27.19,25.9
ttdiesti,20,85,casanare,20.14,19.69,19.24,18.79,18.35,17.9
ttdiesti,20,68,santander,24.96,23.96,22.96,21.97,20.97,19.97
ttdiesti,20,66,risaralda,22.71,22.03,21.34,20.66,19.98,19.3
ttdiesti,20,73,tolima,34.99,33.93,32.86,31.79,30.72,29.66
ttdiesti,20,54,n.santander,20.68,20.22,19.76,19.31,18.85,18.39
ttdiesti,20,54,n.santander,13.17,13.03,12.88,12.73,12.59,12.44
ttdiesti,20,86,putumayo,19.99,19.55,19.1,18.66,18.21,17.77
ttdiesti,20,68,santander,32.36,32.36,32.36,32.36,32.36,32.36
rtrmorpu,4,25,cundinamarca,66.85,80.1,56.32,40.13,49.88,40.52
ttdiesti,20,18,caqueta,25.85,25.27,24.7,24.13,23.55,22.98
ttdiesti,20,15,boyaca,24.32,23.35,22.38,21.41,20.43,19.46
rtrmorpu,4,52,narino,76.63,75.9,89.96,81.46,108.08,69.37
pcrparin,1,17,caldas,96.62,98.53,96.74,98.73,97.65,98.79
ttdiesti,20,54,n.santander,13.73,13.42,13.12,12.81,12.51,12.2
pcrparin,1,86,putumayo,89.96,90.92,92.73,93.52,94.13,97.58
pbehtaco,1,8,atlantico,NA,NA,10,NA,NA,NA
ttdiesti,20,73,tolima,35.92,35.72,35.53,35.33,35.13,34.94
ttdiesti,20,50,meta,24,23.47,22.93,22.4,21.87,21.33
ttdiesti,20,23,cordoba,35.46,35.04,34.62,34.2,33.78,33.36
ttdiesti,20,15,boyaca,20,19.2,18.4,17.6,16.8,16
ttdiesti,20,19,cauca,28.71,28.07,27.43,26.79,26.16,25.52
ttdiesti,20,44,la guajira,31.79,31.23,30.67,30.11,29.55,28.99
ttdiesti,20,68,santander,17.12,16.6,16.09,15.58,15.06,14.55
pcrparin,1,15,boyaca,93.33,96.72,100,96.15,100,100
pcrparin,1,18,caqueta,98.1,97.21,97.64,97.66,98.11,99.5
ttdiesti,20,68,santander,20.92,20.09,19.25,18.41,17.58,16.74
cgrnacim,17,86,putumayo,5937,6069,6360,6401,5341,6469
igrtgfec,2,66,risaralda,NA,NA,NA,NA,NA,NA
ttdiesti,20,41,huila,20.42,20.19,19.96,19.74,19.51,19.28
ttdiesti,20,76,valle del cauca,15.67,15.2,14.73,14.26,13.79,13.32
ttdiesti,20,5,antioquia,15.41,15.24,15.07,14.89,14.72,14.55
ttdiesti,20,13,bolivar,19.29,18.86,18.43,18,17.58,17.15
ttdiesti,20,25,cundinamarca,13.18,13.03,12.89,12.74,12.59,12.45
ttdiesti,20,25,cundinamarca,19.32,19.11,18.89,18.68,18.46,18.25
ttdiesti,20,19,cauca,28.42,27.78,27.15,26.52,25.89,25.26
pbrmivih,1,5,antioquia,NA,NA,NA,NA,1.8,2.1
ttdiesti,20,73,tolima,20.90996184,20.6435558,20.3756052,20.10679307,19.83626631,19.56433813
ttdiesti,20,23,cordoba,24.17,23.63,23.1,22.56,22.02,21.49
pcrparin,1,15,boyaca,100,93.33,93.91,98.94,95.19,96.94
pcrparin,1,5,antioquia,98.28,97.17,99.17,97.77,98.35,98.29
rgrtgfec,3,20,cesar,NA,NA,NA,NA,NA,NA
pcrparin,1,25,cundinamarca,99.62,97.73,100,99.62,99.57,99.01
ttdiesti,20,15,boyaca,19.51,18.73,17.95,17.17,16.39,15.61
pgeembar,1,66,risaralda,21.4,NA,NA,NA,NA,20
ttdiesti,20,13,bolivar,23.80263482,23.46598006,23.12853597,22.79048307,22.45153045,22.11211058
pbepredc,1,95,guaviare,NA,NA,NA,NA,NA,12.4
pcrparin,1,5,antioquia,94.33,94.44,96.13,95.72,99.49,97.72
pcrparin,1,27,choco,94.39,91.67,94.2,95.88,95.8,97.03
pbrmivih,1,81,arauca,NA,NA,NA,0,NA,0
pcrparin,1,47,magdalena,98.43,100,97.98,97,94.89,97.38
ttdiesti,20,70,sucre,26.65,26.06,25.46,24.87,24.28,23.69
pcrparin,1,54,n.santander,96.79977073,96.20367854,97.93274531,98.66296553,98.3844318,98.96638283
ttdiesti,20,5,antioquia,9.86,9.8,9.74,9.68,9.62,9.56
ctrmormt,17,13,bolivar,29,29,26,32,23,22
pcrparin,1,25,cundinamarca,98.97,99.64,100,99.67,99.12,98.61
ttdiesti,20,5,antioquia,25.86,25.29,24.71,24.14,23.56,22.99
ttdiesti,20,5,antioquia,20.15,19.7,19.25,18.8,18.35,17.91
ttdiesti,20,5,antioquia,31.34,30.79,30.24,29.69,29.14,28.6
ttdiesti,20,91,amazonas,41.53,41.53,41.53,41.53,41.53,41.53
ctrmormt,17,8,atlantico,29,30,26,29,30,27
ttdiesti,20,70,sucre,21.01,20.54,20.08,19.61,19.14,18.68
pcrparin,1,68,santander,95.1,96.52,95.05,98.84,98.2,98.91
pcrparin,1,20,cesar,89.14,91.94,90.82,98.42,98.79,98.86
ttdiesti,20,25,cundinamarca,15.28,14.94,14.6,14.26,13.92,13.59
ctrmormt,17,50,meta,11,11,15,6,8,7
pcrparin,1,85,casanare,95,80.95,95.24,100,100,100
ttdiesti,20,68,santander,22.95,22.03,21.11,20.19,19.28,18.36
ttdiesti,20,68,santander,17.01,16.5,15.99,15.48,14.97,14.46
pbepredc,1,94,guainia,NA,NA,NA,NA,NA,23.4
ttdiesti,20,5,antioquia,21.53,21.05,20.57,20.09,19.62,19.14
pcrparin,1,97,vaupes,4.65,3.33,15,27.78,34.33,20
ttdiesti,20,15,boyaca,18.16,17.43,16.71,15.98,15.25,14.53
ttdiesti,20,85,casanare,34.42,33.66,32.89,32.13,31.36,30.6
pcrparin,1,52,narino,80.09,94.12,91.1,96.33,94.67,97.01
ttdiesti,20,19,cauca,18.59,18.38,18.18,17.97,17.76,17.56
ttdiesti,20,25,cundinamarca,25.47,25.47,25.47,25.47,25.47,25.47
pcrparin,1,5,antioquia,92.86,100,95.45,94.74,100,97.5
pcrparin,1,23,cordoba,96.23,97.74,98.85,98.87,99.26,98.59
ttdiesti,20,5,antioquia,16.73,16.54,16.35,16.17,15.98,15.8
ttdiesti,20,15,boyaca,15.7,15.07,14.45,13.82,13.19,12.56
ttdiesti,20,66,risaralda,12.75,12.6,12.45,12.29,12.14,11.99
pcrparin,1,68,santander,72.04,70.83,91.38,96.88,97.92,100
pcrparin,1,54,n.santander,95.08,98.72,100,98.68,100,97.62
ttdiesti,20,52,narino,27.75,27.13,26.51,25.9,25.28,24.66
pcrparin,1,5,antioquia,99.34,99.3,99.47,99.6,99.43,99.27
ttdiesti,20,54,n.santander,12.64,12.36,12.08,11.8,11.52,11.23
ttdiesti,20,17,caldas,23.78,22.83,21.88,20.93,19.98,19.02
rtrmorpu,4,19,cauca,109.51,91.69,122.63,103.93,96.98,134.98
pcrparin,1,70,sucre,99.29,99.67,99.23,99,99.56,99.91
ttdiesti,20,99,vichada,30.55,29.87,29.19,28.51,27.83,27.16
ttdiesti,20,15,boyaca,19.71,19.12,18.53,17.94,17.35,16.76
pcrparin,1,19,cauca,56.35,51.29,67.08,73.33,82.18,84.07
ttdiesti,20,15,boyaca,29.72,29.39,29.07,28.74,28.42,28.09
pbrmivih,1,NA,NA,NA,NA,NA,14.3,4,0
pcrparin,1,50,meta,93.27,95.93,96.26,96.54,97.12,96.18
ttdiesti,20,73,tolima,21.02,20.77,20.52,20.27,20.02,19.77
pcrparin,1,50,meta,76.19,88.48,94.44,95.73,94.05,95.93
ttdiesti,20,27,choco,45.15,44.24,43.34,42.43,41.52,40.62
ttdiesti,20,73,tolima,22.68,22.41,22.14,21.87,21.6,21.33
ttdiesti,20,73,tolima,16.54,16.54,16.54,16.54,16.53,16.53
ttdiesti,20,25,cundinamarca,16.08,15.72,15.36,15,14.65,14.29
pcrparin,1,15,boyaca,98.46,99.3,95.07,97.14,97.44,95.51
ttdiesti,20,23,cordoba,28.48,27.85,27.21,26.58,25.95,25.32
ttdiesti,20,13,bolivar,33.13,32.39,31.66,30.92,30.19,29.45
pcrparin,1,68,santander,100,100,92.86,100,100,100
pcrparin,1,5,antioquia,95.59,93.59,100,94.64,96.67,100
pcrparin,1,13,bolivar,96.99,92.59,96.12,100,100,100
ttdiesti,20,68,santander,14.88,14.28,13.69,13.09,12.5,11.9
ttdiesti,20,19,cauca,28.02,27.98,27.93,27.89,27.85,27.8
pcrparin,1,25,cundinamarca,97.73,100,97.67,100,100,95.65
pcrperca,1,50,meta,93.47443788,94.52825014,95.32975906,97.67869601,97.92135916,98.35913722
ttdiesti,20,68,santander,13.36,12.96,12.56,12.15,11.75,11.35
pbretaia,1,44,la guajira,NA,NA,NA,NA,NA,66.66666667
pcrparin,1,5,antioquia,96.96,97.14,96.63,98.15,97.64,94.75
ttdiesti,20,25,cundinamarca,21.11,20.87,20.64,20.4,20.17,19.94
pbretaia,1,52,narino,NA,NA,NA,NA,NA,51.72413793
pcrparin,1,15,boyaca,98.63,98.85,100,99.32,100,100
ttdiesti,20,52,narino,21.59,21.11,20.63,20.15,19.67,19.19
pcrparin,1,68,santander,100,96.97,98.68,95,100,98.31
pgeembar,1,170,colombia,20.5,NA,NA,NA,NA,19.5
ttdiesti,20,47,magdalena,20.54,20.08,19.63,19.17,18.71,18.26
ttdiesti,20,68,santander,23.83,23.11,22.4,21.68,20.97,20.25
ttdiesti,20,17,caldas,17.57,17.04,16.51,15.99,15.46,14.93
ttdiesti,20,17,caldas,21.9,21.58,21.25,20.93,20.61,20.28
pcrparin,1,13,bolivar,98.06,97.3,95.74,99.25,100,95.15
ttdiesti,20,76,valle del cauca,15.9,15.26,14.62,13.99,13.35,12.72
cgrnacim,17,70,sucre,33737,32663,31964,32755,30223,29655
igrtgfec,2,5,antioquia,NA,NA,NA,NA,NA,NA
ttdiesti,20,50,meta,33.23,32.49,31.75,31.01,30.27,29.54
pcrparin,1,25,cundinamarca,97.22,98.28,96.67,94.74,96.36,98.08
pcrparin,1,13,bolivar,98.7,99.04,98.56,100,100,99.38
ttdiesti,20,5,antioquia,21.17,20.94,20.7,20.47,20.23,20
ttdiesti,20,52,narino,33.58,33.23,32.87,32.52,32.17,31.82
ttdiesti,20,44,la guajira,23.87,22.91,21.96,21,20.05,19.1
pcrparin,1,73,tolima,97.44,98.04,100,97.96,100,97.96
ttdiesti,20,76,valle del cauca,16.71,16.05,15.38,14.71,14.04,13.37
ttdiesti,20,85,casanare,37.86,37.35,36.85,36.34,35.83,35.32
ttdiesti,20,25,cundinamarca,30.21,29.37,28.54,27.7,26.87,26.03
pcrparin,1,66,risaralda,96.73,98.44,98.08,98.04,93.98,97.08
ttdiesti,20,25,cundinamarca,13.21,13.06,12.92,12.77,12.62,12.48
ttdiesti,20,18,caqueta,26.06,25.48,24.9,24.33,23.75,23.17
pcrparin,1,15,boyaca,93.94,100,100,100,100,100
pcrparin,1,8,atlantico,98.97,99.4,99.71,99.81,99.72,99.89
pcrparin,1,54,n.santander,92.47,96.34,94.44,97.26,98.95,93.26
pcrparin,1,68,santander,91.55,93.18,96.43,92.5,100,95.24
ttdiesti,20,41,huila,30.54,30.54,30.54,30.54,30.54,30.54
pcrparin,1,19,cauca,64.2,73.78,73.93,76.94,83.07,85.76
ttdiesti,20,54,n.santander,28.99,28.34,27.7,27.05,26.41,25.77
pcrparin,1,47,magdalena,93.83,85.39,92.83,87,97.93,96.6
pcrparin,1,70,sucre,99.57,98.98,99.59,99.49,99.72,99.68
pcrparin,1,8,atlantico,97.86,97.92,99.45,99.2,99.71,99.68
ttdiesti,20,25,cundinamarca,17.15,16.96,16.77,16.58,16.39,16.2
pcrparin,1,54,n.santander,99.76,99.57,99.54,100,99.3,100
pcrparin,1,41,huila,99.77,97.73,98.17,96.61,97.24,98
pcrparin,1,70,sucre,99.55,99.53,99.48,98.99,100,100
pcrparin,1,15,boyaca,100,100,47.62,82.61,61.54,92.86
ttdiesti,20,15,boyaca,17.26,16.57,15.88,15.19,14.5,13.81
pcrparin,1,52,narino,82.83,92.21,100,100,100,98.57
ttdiesti,20,5,antioquia,21.57,21.09,20.61,20.13,19.65,19.17
ttdiesti,20,13,bolivar,33.47,33.22,32.97,32.72,32.47,32.23
pcrparin,1,19,cauca,76.61,73.56,74.01,76.44,79.01,78.8
pbrmivih,1,15,boyaca,NA,NA,NA,NA,0,NA
pbehtaco,1,19,cauca,NA,NA,9.9,NA,NA,NA
ttdiesti,20,20,cesar,22.26,21.77,21.27,20.78,20.28,19.79
ttdiesti,20,94,guainia,38.88,38.71,38.55,38.38,38.21,38.05
pcrparin,1,13,bolivar,NA,NA,NA,100,100,95.24
ttdiesti,20,52,narino,30.72,30.72,30.72,30.72,30.72,30.72
pcrparin,1,63,quindio,97.81,99.2,99.26,100,98.11,98.06
ttdiesti,20,52,narino,23.1,22.84,22.59,22.33,22.07,21.82
caelacex,5,170,colombia,2.2,NA,NA,NA,NA,1.8
cgrnacim,17,25,cundinamarca,27075,23635,21725,26228,25796,23154
pcrparin,1,52,narino,79.67,86.92,81.93,86.85,89.36,89.16
ttdiesti,20,94,guainia,39.18,37.61,36.04,34.48,32.91,31.34
ctrmormt,17,19,cauca,20,17,21,18,17,23
pgeembar,1,47,magdalena,21.5,NA,NA,NA,NA,20.4
pcrparin,1,15,boyaca,75,90.14,79.66,93.1,96.43,98.41
ttdiesti,20,5,antioquia,26.63,26.04,25.45,24.86,24.27,23.67
pcrparin,1,85,casanare,98.53,99.14,98.97,99.49,99.17,99.47
rtrmorpu,4,99,vichada,0,175.13,513.48,0,235.57,118.34
pbepredg,1,15,boyaca,NA,NA,NA,NA,NA,3.2
rgrtgfec,3,52,narino,NA,NA,NA,NA,NA,NA
ptrldeng,1,19,cauca,NA,NA,0,0,0,3
pcrparin,1,54,n.santander,98.05,98.83,98.83,97.95,96.31,96.86
ttdiesti,20,47,magdalena,29.33,28.68,28.02,27.37,26.72,26.07
ttdiesti,20,68,santander,27.22,27.22,27.22,27.22,27.22,27.22
ttdiesti,20,5,antioquia,14.57,14.41,14.25,14.08,13.92,13.76
pcrparin,1,52,narino,96.24,94.99,98.56,99.28,98.93,98.6
ttdiesti,20,27,choco,53.7,53.7,53.7,53.7,53.7,53.7
caelacex,5,54,n.santander,NA,NA,NA,NA,NA,0.7
ttdiesti,20,94,guainia,41.51,39.85,38.19,36.53,34.87,33.21
ttdiesti,20,5,antioquia,36.26,35.46,34.65,33.84,33.04,32.23
ttdiesti,20,73,tolima,29.05,28.3,27.55,26.8,26.05,25.3
pbehtaco,1,63,quindio,NA,NA,11.2,NA,NA,NA
pcrparin,1,25,cundinamarca,97.25,98.67,97.56,96.95,97.52,97.17
pcrparin,1,50,meta,94.17,89.31,93.88,97.91,99.47,99.66
pcrparin,1,52,narino,66.42,71.75,86.42,96.46,90.96,98.56
pcrperca,1,85,casanare,96.96816574,97.8744439,97.5,97.8284643,97.9217375,98.37687432
pcrparin,1,52,narino,97.52,98.85,98.86,99.73,98.79,98.67
ttdiesti,20,86,putumayo,16.8,16.43,16.05,15.68,15.31,14.93
ttdiesti,20,44,la guajira,31.93,30.65,29.37,28.1,26.82,25.54
ttdiesti,20,47,magdalena,32.05,31.34,30.63,29.91,29.2,28.49
pcrparin,1,76,valle del cauca,98.37712891,98.76907045,99.12708516,99.14040115,99.20864665,99.2705546
ttdiesti,20,13,bolivar,23.25,22.73,22.22,21.7,21.18,20.67
pcrparin,1,76,valle del cauca,97.48,99.84,98.68,99.54,99.67,99.63
pcrparin,1,68,santander,97.5,88.24,84.21,95.24,100,100
pcrparin,1,15,boyaca,98.54,96.58,99.22,97.22,99.21,100
ttdiesti,20,52,narino,44.34,42.77,41.2,39.62,38.05,36.48
pcrparin,1,68,santander,98.97,98.68,95.52,96.88,100,97.26
pcrparin,1,68,santander,98.53,92.75,97.53,96.49,100,100
pcrrncpn,1,63,quindio,85.06,85.8,87.69,88.75,90.5,91.84
pcrparin,1,20,cesar,93.16,95.79,97.75,96.94,98.82,98.8
ttdiesti,20,17,caldas,20.46,19.85,19.23,18.62,18,17.39
ttdiesti,20,5,antioquia,20.74,20.51,20.28,20.05,19.82,19.59
ttdiesti,20,5,antioquia,26.51,25.73,24.96,24.18,23.4,22.63
pcrparin,1,52,narino,97.29,97.82,94.95,96.82,87.31,95.27
ttdiesti,20,68,santander,19.61,19.61,19.61,19.61,19.61,19.61
ttdiesti,20,54,n.santander,12.2,12.06,11.93,11.79,11.65,11.52
ttdiesti,20,47,magdalena,37.06,37.06,37.06,37.06,37.06,37.06
pcrparin,1,19,cauca,60.18,60.51,79.35,95.04,90.21,95.84
pcrparin,1,66,risaralda,99.53,99.64,99.65,99.42,99.32,99.65
pcrparin,1,76,valle del cauca,98.88,99.6,99.6,98.74,99,99.58
pbrmivih,1,52,narino,NA,NA,NA,7.7,15.4,4.5
pcrparin,1,5,antioquia,98.69,98.89,98.78,97.94,98.91,98.29
ttdiesti,20,19,cauca,28.51,28.51,28.51,28.51,28.51,28.51
ttdiesti,20,5,antioquia,15.04,14.87,14.71,14.54,14.37,14.21
ttdiesti,20,23,cordoba,29.4,29.4,29.4,29.4,29.4,29.4
pcrparin,1,50,meta,90.99,83.96,92.5,97.54,97.89,97.03
pcrparin,1,47,magdalena,89.53,89.24,87.86,93.64,97.09,98.73
ttdiesti,20,73,tolima,25.39,24.96,24.52,24.09,23.66,23.22
