idindicador,idunidad,iddepto,nomdepto,2005,2006,2007,2008,2009,2010
ttdiesti,20,44,la guajira,30.92,30.2,29.49,28.77,28.06,27.34
ttdiesti,20,47,magdalena,39.04,39.04,39.04,39.04,39.04,39.04
ttdiesti,20,18,caqueta,44.21,42.99,41.78,40.56,39.35,38.13
pcrparin,1,91,amazonas,63.04,97.14,68.25,51.52,66.98,65.29
ttdiesti,20,13,bolivar,30.76,30.08,29.39,28.71,28.02,27.34
ttdiesti,20,54,n.santander,20.68,20.22,19.76,19.31,18.85,18.39
ttdiesti,20,47,magdalena,20.18,19.73,19.28,18.84,18.39,17.94
ttdiesti,20,44,la guajira,23.4,22.47,21.53,20.6,19.66,18.72
pcrparin,1,19,cauca,80.58,96.33,94.06,98.2,95.18,96.39
ttdiesti,20,54,n.santander,19.71,19.27,18.83,18.39,17.95,17.52
pcrparin,1,25,cundinamarca,99.08,99.77,98.83,99.52,99.54,99.78
pcrparin,1,18,caqueta,94.03,97.1,92.68,100,96.97,100
pcrparin,1,54,n.santander,85.98,81.43,91.3,97.83,93.98,87
rgrtgfec,3,19,cauca,NA,NA,NA,NA,NA,NA
pcrrncpn,1,97,vaupes,43.47,46.6,37.36,35.9,25.89,28.21
ttdiesti,20,86,putumayo,20.27,19.82,19.37,18.92,18.47,18.02
ttdiesti,20,41,huila,20.41,19.95,19.5,19.05,18.59,18.14
ttdiesti,20,15,boyaca,25.19,24.19,23.18,22.17,21.16,20.16
pcrparin,1,15,boyaca,96.43,95.29,98.91,95.45,94.19,98.73
ttdiesti,20,15,boyaca,21.34,20.7,20.06,19.42,18.78,18.14
pbepredc,1,8,atlantico,9.8,NA,NA,NA,NA,15.5
cgrnacim,17,85,casanare,5083,5380,4626,4833,4704,4491
pcrparin,1,73,tolima,82.67,91.11,97.48,99.11,97.25,98.86
pcrparin,1,47,magdalena,99.79,99.74,99.56,99.47,99.57,99.85
pcrparin,1,19,cauca,90.91,91.11,100,94.44,97.3,97.56
pcrparin,1,15,boyaca,99.83,99.73,99.63,99.68,99.77,99.71
pcrparin,1,23,cordoba,99.49,99.68,99.71,98.81,99.57,98.6
ttdiesti,20,52,narino,15.66,15.48,15.31,15.13,14.96,14.79
pcrparin,1,52,narino,97.12,98.96,94.59,96.88,97.65,96.39
pcrparin,1,18,caqueta,80.43,92.52,95.08,97.62,98.28,97.51
ctrmormt,17,23,cordoba,7,14,35,23,18,34
ttdiesti,20,5,antioquia,20.89,20.43,19.96,19.5,19.03,18.57
pcrparin,1,76,valle del cauca,98.89,99.19,99.46,99.63,99.81,99.59
ttdiesti,20,13,bolivar,17.92,17.52,17.13,16.73,16.33,15.93
ttdiesti,20,76,valle del cauca,20,19.4,18.8,18.2,17.6,17
pcrparin,1,25,cundinamarca,98.28,97.44,92.73,90,91.49,95
rgrtgfec,3,17,caldas,NA,NA,NA,NA,NA,NA
pbepredc,1,88,san andres,NA,NA,NA,NA,NA,3.8
ttdiesti,20,25,cundinamarca,21.37,21.13,20.89,20.66,20.42,20.18
ttdiesti,20,25,cundinamarca,29.55,29.55,29.55,29.55,29.55,29.55
pcrparin,1,47,magdalena,97.3,96.73,97.74,98.08,97.9,97.08
ttdiesti,20,52,narino,30.66,29.98,29.29,28.61,27.93,27.25
pcrparin,1,15,boyaca,100,100,95.65,100,100,100
pcrparin,1,68,santander,81.84,87.39,85.91,88.37,95.15,96.66
ttdiesti,20,23,cordoba,31.41,31.19,30.96,30.74,30.52,30.29
ttdiesti,20,73,tolima,27.07,27.07,27.07,27.07,27.07,27.07
ttdiesti,20,76,valle del cauca,15.62,15.15,14.68,14.21,13.75,13.28
pbepredc,1,15,boyaca,23.3,NA,NA,NA,NA,16.7
pcrparin,1,73,tolima,98.03,99.37,99.4,99.85,99.4,100
pcrparin,1,19,cauca,96.5,94.85,95.93,92.06,95.57,97.37
ttdiesti,20,13,bolivar,28.44,28.44,28.44,28.44,28.44,28.44
ttdiesti,20,15,boyaca,19.37,18.6,17.82,17.05,16.27,15.5
pcrparin,1,73,tolima,96.68,98.79,98.38,99.91,99.65,99.36
ttdiesti,20,68,santander,27.13,26.32,25.5,24.69,23.87,23.06
pcrparin,1,5,antioquia,80.61,82.53,83.42,93.1,96.09,98.32
pcrparin,1,85,casanare,77.21,82.12,78.79,81.73,86.86,89.34
ttdiesti,20,19,cauca,33.96,33.21,32.46,31.7,30.95,30.19
ttdiesti,20,15,boyaca,19.48,19.48,19.48,19.48,19.48,19.48
ttdiesti,20,13,bolivar,31.4,30.71,30.01,29.31,28.61,27.92
pcrparin,1,13,bolivar,98.42,100,97.91,96.95,96.76,98.86
ttdiesti,20,68,santander,23.09,22.4,21.71,21.01,20.32,19.63
pcrparin,1,44,la guajira,84.38,81.98,77.39,82.86,100,99.38
pcrparin,1,15,boyaca,93.75,94.74,91.43,100,86.36,97.14
ttdiesti,20,52,narino,20.28,20.05,19.83,19.6,19.38,19.15
ttdiesti,20,15,boyaca,16.63,16.13,15.64,15.14,14.64,14.14
ttdiesti,20,5,antioquia,15.83,15.65,15.48,15.3,15.12,14.95
ttdiesti,20,91,amazonas,51.39,51.39,51.39,51.39,51.39,51.39
ttdiesti,20,54,n.santander,18,17.6,17.2,16.8,16.4,16
pcrparin,1,23,cordoba,98.16,98.48,98.52,98.32,98.18,99
ttdiesti,20,15,boyaca,41.18,39.53,37.89,36.24,34.59,32.94
pcrparin,1,85,casanare,97.24,99.25,98.74,96.36,98.4,100
ttdiesti,20,25,cundinamarca,14.73,14.57,14.41,14.24,14.08,13.92
ttdiesti,20,52,narino,21.82,21.33,20.85,20.36,19.88,19.39
pcrparin,1,15,boyaca,94.57,96.55,99.03,100,94.44,98.84
pcrparin,1,63,quindio,99.09,98.62,100,99.67,99.69,99.3
ttdiesti,20,5,antioquia,18.51,18.31,18.1,17.9,17.69,17.48
pcrparin,1,15,boyaca,94.34,98.33,97.67,93.33,96.88,97.14
ttdiesti,20,73,tolima,16.88,16.68,16.48,16.28,16.08,15.88
pcrparin,1,17,caldas,92.31,94.4,96.27,98.25,98.17,97.65
cgrnacim,17,23,cordoba,20418,20890,20345,21052,20809,18762
ttdiesti,20,63,quindio,12.74,12.36,11.97,11.59,11.21,10.83
ttdiesti,20,25,cundinamarca,12.85,12.71,12.57,12.42,12.28,12.14
pcrparin,1,54,n.santander,99.42,99.6,98.88,98.57,99.58,99.38
pbrmivih,1,19,cauca,NA,NA,NA,7.7,NA,8.3
ttdiesti,20,76,valle del cauca,18.11,18.11,18.11,18.1,18.1,18.1
pcrparin,1,17,caldas,97.43,97.54,97.68,97.93,98.68,98.4
pcrparin,1,54,n.santander,100,96.55,100,100,100,100
ttdiesti,20,70,sucre,18.61,18.2,17.78,17.37,16.96,16.54
pcrparin,1,73,tolima,93.79,93.06,96.55,95.08,96.08,97.84
pcrparin,1,68,santander,86.54,91.21,94.51,95.06,100,91.58
pcrparin,1,5,antioquia,86.47,89.3,92.69,93.14,91.87,88.82
ttdiesti,20,19,cauca,29.03,28.38,27.74,27.09,26.45,25.8
pcrparin,1,23,cordoba,99.04,99.47,98.95,99.33,98.82,99.1
pcrparin,1,86,putumayo,95.79,96.74,90.91,95.92,93.24,95.77
pbehtaco,1,NA,NA,NA,NA,7.44,NA,NA,NA
pcrparin,1,76,valle del cauca,100,98.45,97.9,98.7,99.52,98.46
ttdiesti,20,68,santander,40.59,38.97,37.34,35.72,34.1,32.47
pbretaia,1,88,san andres,NA,NA,NA,NA,NA,NA
pcrparin,1,15,boyaca,94.67,94.74,98.68,97.4,95.71,100
pcrparin,1,25,cundinamarca,99,99.1,100,100,99.02,100
ttdiesti,20,85,casanare,26.16,25.58,25,24.42,23.83,23.25
ttdiesti,20,73,tolima,25.36,25.06,24.76,24.46,24.16,23.86
ttdiesti,20,15,boyaca,26.17,25.39,24.6,23.82,23.03,22.25
ttdiesti,20,47,magdalena,21.64,21.16,20.68,20.2,19.72,19.24
pcrparin,1,91,amazonas,33.33,85.71,38.46,53.85,54.55,47.06
ttdiesti,20,27,choco,45.11,43.3,41.5,39.7,37.89,36.09
ttdiesti,20,68,santander,13.75,13.34,12.93,12.51,12.1,11.69
pcrparin,1,25,cundinamarca,98.59,100,100,100,100,97.67
caelacex,5,17,caldas,NA,NA,NA,NA,NA,1.6
pcrparin,1,23,cordoba,98.83,97.49,99.32,99.01,100,99.29
ttdiesti,20,70,sucre,27.82,27.2,26.58,25.96,25.34,24.72
ttdiesti,20,99,vichada,41.62615531,40.58627264,39.55209855,38.51209172,37.47824503,36.45090071
pbretaia,1,NA,NA,NA,NA,NA,NA,NA,0
pcrparin,1,91,amazonas,100,100,NA,60,75,30
pcrparin,1,13,bolivar,89.38,96.04,97.66,99.16,98.61,96.88
ttdiesti,20,47,magdalena,16.07,15.71,15.36,15,14.64,14.29
ttdiesti,20,5,antioquia,25.68,25.25,24.82,24.39,23.96,23.53
