,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL,,,,,,,,,,,,,,,,CABECERA,,,,,,,,,,,,,,,,RESTO,,,,,,,,,,,,,,,
Código,Departamento,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
41,Huila,"1,011,418","1,025,704","1,040,050","1,054,430","1,068,820","1,083,200","1,097,615","1,111,989","1,126,314","1,140,585","1,154,804","1,168,910","1,182,985","1,197,049","1,211,129","1,225,260","601,429","611,081","620,663","630,070","639,323","648,410","657,285","666,013","674,557","682,925","691,124","699,175","707,027","714,762","722,303","729,702","409,989","414,623","419,387","424,360","429,497","434,790","440,330","445,976","451,757","457,660","463,680","469,735","475,958","482,287","488,826","495,558"
44,La Guajira,"681,575","708,673","735,974","763,439","791,027","818,695","846,609","874,520","902,386","930,165","957,814","985,498","1,012,971","1,040,193","1,067,126","1,093,733","367,604","383,152","398,818","414,583","430,415","446,285","462,257","478,170","493,986","509,633","525,117","540,525","555,655","570,518","585,073","599,260","313,971","325,521","337,156","348,856","360,612","372,410","384,352","396,350","408,400","420,532","432,697","444,973","457,316","469,675","482,053","494,473"
47,Magdalena,"1,149,917","1,159,729","1,169,770","1,180,051","1,190,585","1,201,386","1,212,439","1,223,781","1,235,425","1,247,383","1,259,667","1,272,278","1,285,239","1,298,562","1,312,259","1,326,341","789,623","803,458","817,376","831,200","844,979","858,697","872,425","886,094","899,730","913,331","926,935","940,506","954,121","967,710","981,309","994,904","360,294","356,271","352,394","348,851","345,606","342,689","340,014","337,687","335,695","334,052","332,732","331,772","331,118","330,852","330,950","331,437"
50,Meta,"783,168","800,485","817,917","835,461","853,115","870,876","888,765","906,755","924,843","943,024","961,292","979,683","998,146","1,016,672","1,035,251","1,053,871","571,055","586,630","602,476","618,311","634,162","650,011","665,864","681,669","697,460","713,184","728,863","744,535","760,127","775,621","791,039","806,345","212,113","213,855","215,441","217,150","218,953","220,865","222,901","225,086","227,383","229,840","232,429","235,148","238,019","241,051","244,212","247,526"
52,Nariño,"1,541,956","1,560,895","1,580,123","1,599,646","1,619,464","1,639,569","1,660,087","1,680,855","1,701,840","1,722,999","1,744,275","1,766,008","1,787,715","1,809,301","1,830,657","1,851,658","711,093","725,132","739,731","754,394","769,258","784,252","799,449","814,726","830,093","845,502","860,985","876,632","892,269","907,725","923,036","938,143","830,863","835,763","840,392","845,252","850,206","855,317","860,638","866,129","871,747","877,497","883,290","889,376","895,446","901,576","907,621","913,515"
54,Norte de Santander,"1,243,975","1,254,405","1,265,006","1,275,781","1,286,728","1,297,842","1,309,217","1,320,724","1,332,335","1,344,015","1,355,723","1,367,716","1,379,621","1,391,366","1,402,867","1,414,032","948,411","959,957","971,460","982,989","994,521","1,006,108","1,017,842","1,029,550","1,041,258","1,052,957","1,064,612","1,076,392","1,088,064","1,099,486","1,110,630","1,121,401","295,564","294,448","293,546","292,792","292,207","291,734","291,375","291,174","291,077","291,058","291,111","291,324","291,557","291,880","292,237","292,631"
63,Quindio,"534,552","537,526","540,519","543,532","546,566","549,624","552,703","555,806","558,934","562,087","565,266","568,473","571,705","574,960","578,237","581,534","462,410","465,844","469,211","472,550","475,905","479,246","482,599","485,928","489,278","492,647","496,012","499,419","502,819","506,238","509,646","513,086","72,142","71,682","71,308","70,982","70,661","70,378","70,104","69,878","69,656","69,440","69,254","69,054","68,886","68,722","68,591","68,448"
66,Risaralda,"897,509","903,102","908,654","914,170","919,653","925,105","930,523","935,915","941,283","946,626","951,945","957,250","962,529","967,780","972,999","978,182","690,175","695,747","701,305","706,836","712,353","717,861","723,363","728,845","734,325","739,801","745,269","750,740","756,207","761,660","767,111","772,533","207,334","207,355","207,349","207,334","207,300","207,244","207,160","207,070","206,958","206,825","206,676","206,510","206,322","206,120","205,888","205,649"
68,Santander,"1,957,789","1,968,485","1,979,090","1,989,609","2,000,045","2,010,404","2,020,664","2,030,857","2,040,988","2,051,065","2,061,095","2,071,044","2,080,961","2,090,854","2,100,733","2,110,608","1,426,021","1,440,485","1,454,392","1,468,030","1,481,269","1,494,254","1,506,950","1,519,353","1,531,466","1,543,302","1,554,804","1,566,137","1,577,195","1,588,034","1,598,676","1,609,059","531,768","528,000","524,698","521,579","518,776","516,150","513,714","511,504","509,522","507,763","506,291","504,907","503,766","502,820","502,057","501,549"
70,Sucre,"772,010","779,532","787,167","794,904","802,733","810,650","818,663","826,755","834,927","843,182","851,526","859,909","868,403","877,024","885,792","894,734","493,860","500,951","508,208","515,566","523,080","530,713","538,475","546,367","554,412","562,571","570,895","579,307","587,863","596,618","605,570","614,726","278,150","278,581","278,959","279,338","279,653","279,937","280,188","280,388","280,515","280,611","280,631","280,602","280,540","280,406","280,222","280,008"
