iddepto,idindicador,yea2005,yea2006,yea2007,yea2008,yea2009,yea2010
18.0,cgrnacim,14079.0,13224.0,13144.0,12503.0,11483.0,10879.0
18.0,ctrmormt,8.0,10.0,11.0,4.0,7.0,14.0
18.0,pbehtaco,,,7.4,,,
18.0,pbepredc,,,,,,11.7
18.0,pbepredg,,,,,,3.5
18.0,pbretaia,,,,,,100.0
18.0,pbrmivih,,,,,20.0,8.3
18.0,pcrparin,95.65048079647057,96.64397453411763,96.23929616529412,97.52786949294116,97.94847367235293,98.53473854411766
18.0,pcrperca,95.42005794,96.56610594,96.69727285,97.04535997,97.82905516,98.79233759
18.0,pcrrncpn,74.99,72.47,70.86,72.85,76.67,75.46
18.0,pgeembar,32.0,,,,,18.2
18.0,ptrldeng,,,9.09,0.0,0.0,9.0
18.0,rtrmorpu,110.36,139.02,150.75,55.49,95.58,194.34
18.0,ttdiesti,27.160104787647057,26.574858851176476,25.990144251764708,25.406061222352946,24.820206593529416,24.233168163529413
18.0,ttdnesti,53.03456428,48.35794142,43.68131856,39.004695700000006,34.32807284,29.65144998
19.0,caelacex,,,,,,1.9
19.0,cgrnacim,7249.0,7193.0,7297.0,7209.0,7324.0,7204.0
19.0,ctrmormt,20.0,17.0,21.0,18.0,17.0,23.0
19.0,pbehtaco,,,9.9,,,
19.0,pbepredc,15.0,,,,,23.0
19.0,pbepredg,,,,,,5.0
19.0,pbretaia,,,,,,0.0
19.0,pbrmivih,,,,7.7,,8.3
19.0,pcrparin,82.61317191069767,85.51316456418604,92.06303683581396,93.37649153976743,93.59470542186048,94.96452769767441
19.0,pcrperca,85.83474785,87.69753519,92.64817518,94.1509325,94.70051341,95.53377546
19.0,pcrrncpn,72.8,75.65,77.48,79.07,79.05,81.48
19.0,pgeembar,28.8,,,,,23.7
19.0,ptrldeng,,,0.0,0.0,0.0,3.0
19.0,rtrmorpu,109.51,91.69,122.63,103.93,96.98,134.98
19.0,ttdiesti,26.34319290930232,25.868372413953487,25.395091212093025,24.92009162767442,24.44617127930232,23.971692588837207
