iddepto,idindicador,yea2005,yea2006,yea2007,yea2008,yea2009,yea2010
86.0,pbepredc,,,,,,9.8
86.0,pbepredg,,,,,,3.5
86.0,pbretaia,,,,,,66.66666667
86.0,pcrparin,88.03806232142855,90.1105647392857,90.30259164071428,91.97287680785715,90.47964668642855,92.75311109571429
86.0,pcrperca,88.01843318,90.65438495,92.02637890000001,93.43498518,91.67542569,94.86558489
86.0,pcrrncpn,73.56,74.59,75.34,74.88,73.76,74.28
86.0,pgeembar,19.8,,,,,32.0
86.0,ptrldeng,,,6.25,1.35,7.41,6.0
86.0,rtrmorpu,57.6,95.95,139.89,84.71,126.13,242.19
86.0,ttdiesti,22.947367952142855,22.482713860714284,22.01787977357143,21.55428594714286,21.089225090714287,20.62395681642857
86.0,ttdnesti,53.31135023,48.22720526,43.143060299999995,38.05891534,32.97477037,27.89062541
88.0,cgrnacim,5208.0,5211.0,5004.0,4722.0,4757.0,4129.0
88.0,ctrmormt,0.0,1.0,1.0,0.0,1.0,0.0
88.0,pbehtaco,,,9.4,,,
88.0,pbepredc,,,,,,3.8
88.0,pbepredg,,,,,,1.1
88.0,pbrmivih,,,,,,0.0
88.0,pcrparin,99.78775051000001,99.77820679666667,99.09823825000001,98.40818325333333,99.92181748666667,99.91626262666666
88.0,pcrperca,99.59100204,99.78308026,99.67707212,99.40758294,99.31271478,99.87878788
88.0,pcrrncpn,93.15,94.79,93.11,90.64,93.24,91.52
88.0,pgeembar,21.0,,,,,19.2
88.0,ptrldeng,,,,,0.0,
88.0,rtrmorpu,0.0,108.46,107.64,0.0,114.55,0.0
88.0,ttdiesti,20.335386376666666,19.87821234666667,19.42328555,18.970500669999996,18.51461725,18.057751216666666
88.0,ttdnesti,23.89273838,23.32559435,22.75845032,22.19130629,21.62416226,21.05701823
91.0,caelacex,,,,,,5.5
91.0,cgrnacim,978.0,922.0,929.0,844.0,873.0,825.0
91.0,ctrmormt,2.0,0.0,2.0,4.0,5.0,0.0
91.0,pbehtaco,,,9.1,,,
91.0,pbepredc,,,,,,28.6
91.0,pbepredg,,,,,,5.8
91.0,pbretaia,,,,,,100.0
91.0,pbrmivih,,,,,,50.0
91.0,pcrparin,64.61349789333335,84.77710979583334,72.295748092,71.35385553090909,72.307025078,62.679255150909086
91.0,pcrperca,78.90995261,85.14531755,84.27480916,81.09843081,82.44514107,80.90332805
91.0,pcrrncpn,63.19,61.36,61.3,58.2,52.82,48.49
91.0,pgeembar,25.5,,,,,35.4
91.0,ptrldeng,,,0.0,,0.0,0.0
91.0,rtrmorpu,157.98,0.0,152.67,285.31,391.85,0.0
91.0,ttdiesti,58.85654038333333,58.853124430833326,58.849130781666666,58.84589358583332,58.842767063333326,58.83962699916666
94.0,cgrnacim,1266.0,929.0,1310.0,1402.0,1276.0,1262.0
94.0,ctrmormt,2.0,3.0,0.0,2.0,1.0,0.0
94.0,pbehtaco,,,6.6,,,
94.0,pbepredc,,,,,,23.4
94.0,pbepredg,,,,,,6.1
94.0,pcrparin,75.37749678166666,89.268817505,91.46,85.83714536714285,78.14392740857144,76.24952542399998
94.0,pcrperca,79.53667954,81.56424581,87.4,84.53427065,80.94462541,86.94915254
94.0,pcrrncpn,54.44,59.78,57.2,50.97,46.09,47.8
94.0,pgeembar,30.8,,,,,33.8
94.0,ptrldeng,,,0.0,0.0,0.0,
94.0,rtrmorpu,386.1,558.66,0.0,351.49,162.87,0.0
94.0,ttdiesti,50.704614017,49.77352961,48.84035069800001,47.90303392999999,46.96319196,46.019086251
95.0,cgrnacim,518.0,537.0,500.0,569.0,614.0,590.0
95.0,ctrmormt,3.0,3.0,1.0,2.0,1.0,1.0
95.0,pbehtaco,,,5.2,,,
95.0,pbepredc,,,,,,12.4
95.0,pbepredg,,,,,,4.7
95.0,pbretaia,,,,,,100.0
95.0,pbrmivih,,,,50.0,,0.0
95.0,pcrparin,96.396210046,97.22200000000001,94.448950064,97.362984924,93.704444444,96.57155555599999
95.0,pcrperca,97.37442922,96.72,95.96670935,96.41959799,96.18055556,97.7037037
95.0,pcrrncpn,66.27,62.0,64.92,63.07,58.19,56.74
95.0,pgeembar,29.9,,,,,23.3
95.0,ptrldeng,,,0.0,8.33,50.0,0.0
95.0,rtrmorpu,171.23,240.0,64.02,125.63,69.44,74.07
95.0,ttdiesti,39.662736841999994,39.026625072,38.385790044,37.744033214,37.101755196,36.455963927999996
97.0,cgrnacim,1752.0,1250.0,1562.0,1592.0,1440.0,1350.0
97.0,ctrmormt,0.0,2.0,3.0,0.0,1.0,0.0
97.0,pbehtaco,,,5.3,,,
97.0,pbepredc,,,,,,34.6
97.0,pbepredg,,,,,,3.4
97.0,pbrmivih,,,,,,100.0
97.0,pcrparin,33.30693202166666,45.67021989599999,42.55361186,46.70830094142857,48.01636615857142,46.78181571142858
97.0,pcrperca,45.08050089,49.38917976,57.54716981,49.64936886,50.80906149,47.22662441
97.0,pcrrncpn,43.47,46.6,37.36,35.9,25.89,28.21
97.0,pgeembar,27.2,,,,,22.3
97.0,ptrldeng,,,,0.0,,
97.0,rtrmorpu,0.0,349.04,566.04,0.0,161.81,0.0
97.0,ttdiesti,47.311076875714285,46.698722960000005,46.09201355571429,45.48544603857143,44.883516152857155,44.28384650571429
99.0,cgrnacim,559.0,573.0,530.0,713.0,618.0,631.0
99.0,ctrmormt,0.0,1.0,4.0,0.0,2.0,1.0
99.0,pbehtaco,,,6.4,,,
99.0,pbepredc,,,,,,15.9
99.0,pbepredg,,,,,,5.5
99.0,pcrparin,89.560709288,94.67618564,94.02332477600001,86.96280734,85.19180212,81.85037869800001
99.0,pcrperca,89.02291918,93.8704028,94.22336329,88.07339449999999,86.57243816,81.65680473
99.0,pcrrncpn,65.62,64.8,62.77,60.55,53.95,52.66
99.0,pgeembar,20.1,,,,,31.3
99.0,ptrldeng,,,0.0,0.0,0.0,0.0
99.0,rtrmorpu,0.0,175.13,513.48,0.0,235.57,118.34
99.0,ttdiesti,37.119231062000004,36.271254528,35.424419709999995,34.576418344000004,33.729649006,32.886180142
170.0,caelacex,2.2,,,,,1.8
170.0,cgrnacim,719968.0,714450.0,709253.0,715453.0,699775.0,654627.0
170.0,ctrmormt,505.0,510.0,511.0,432.0,471.0,469.0
170.0,paemetmo,52.65,,,,,59.13333333333335
170.0,pbehtaco,,,8.8,,,
170.0,pbepredc,12.0,,,,,13.2
170.0,pbepredg,7.0,,,,,3.4
170.0,pbretaia,,,,,,64.82084691
170.0,pbrmivih,,,,6.2,4.9,5.3
170.0,pcrparin,96.47296617,97.1,97.77469845,98.1,98.35825708,98.58918837
170.0,pcrperca,96.4,97.1,97.8,98.1,98.4,98.7
170.0,pcrrncpn,82.38,82.97,83.78,84.08,84.3,86.26
170.0,pgeembar,20.5,,,,,19.5
170.0,ptrldeng,,,0.43,0.52,0.71,2.26
170.0,rtrmorpu,70.14,71.38,72.05,60.38,67.31,71.64
170.0,ttdiesti,20.39849749,19.98671435,19.57659773,19.168230899999998,18.76165918,18.4
170.0,ttdnesti,26.61798379,25.52917127,24.44035874,23.35154621,22.26273368,21.17392116
